;Name;Vorname;Fraktion/Gruppe;20-003-01;20-003-02;20-007-01;20-007-02;20-014-02;20-014-03;20-015-01;20-021-01;20-022-01;20-022-02;20-022-03
2;Aumer;Peter;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
3;Bär;Dorothee;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Abwesend;Ja;Abwesend;Abwesend;Abwesend
4;Bareiß;Thomas;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
11;Beyer;Peter;CDU/CSU;Abwesend;Abwesend;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
12;Bilger;Steffen;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
21;Brandl;Reinhard;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
24;Braun;Helge;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Nein;Nein;Abwesend;Ja;Nein;Ja;Ja
25;Brehmer;Heike;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend
26;Brinkhaus;Ralph;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend
28;Connemann;Gitta;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
29;Dobrindt;Alexander;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
33;Ferlemann;Enak;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Abwesend;Abwesend;Abwesend;Ja;Nein;Ja;Ja
41;Friedrich (Hof);Hans-Peter;CDU/CSU;Nein;Abwesend;Nein;Nein;Nein;Nein;Abwesend;Ja;Abwesend;Abwesend;Abwesend
42;Frieser;Michael;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
47;Gädechens;Ingo;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
49;Gebhart;Thomas;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
59;Gröhe;Hermann;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
60;Grosse-Brömer;Michael;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
61;Grübel;Markus;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Abwesend
62;Grund;Manfred;CDU/CSU;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Ja
63;Grütters;Monika;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
64;Gutting;Olav;CDU/CSU;Nein;Ja;Abwesend;Abwesend;Nein;Nein;Abwesend;Ja;Nein;Ja;Ja
65;Hahn;Florian;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Abwesend;Abwesend
67;Hardt;Jürgen;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
71;Heil;Mechthild;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
75;Hennrich;Michael;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
76;Heveling;Ansgar;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
79;Hirte;Christian;CDU/CSU;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja
